Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,text_len,text_norm,text_no_stop
Carpentry,Filter Air REMAX / Saringan Air / Filter Keran Air,Jakarta Barat,59800,4.9,5212,2639,2,"makin butek, jangan beli guys",Negative,Fear,5,"makin butek, jangan beli guys","makin butek, jangan beli guys"
Health,FLIMTY FIBER 2 BOX PELANGSING FREE ONGKIR SLIMMING - Blackcurrant,Jakarta Barat,580000,5.0,9852,5896,5,kesekian kalinya pesen ini produk..sangat bagus untuk membantu proses diet..dan pengiriman sangat cepat.,Positive,Happy,13,kesekian kalinya pesen ini produk..sangat bagus untuk membantu proses diet..dan pengiriman sangat cepat.,kesekian kalinya pesen produk..sangat bagus membantu proses diet..dan pengiriman sangat cepat.
Household,TDS Meter 3 Alat Ukur Hidroponik Air Aquarium ppm nutrisi Kolam TDS-3 - TDS 3 Meter,Jakarta Utara,14400,4.9,4765,3044,1,Dapet yang error. nilai ppm kebaca dalam ribuan. kualitasnya jeles banget gak dicek dulu sebelum dikirim. kecewa dan gak akan beli lagi disini.,Negative,Sadness,23,dapet yang error. nilai ppm kebaca dalam ribuan. kualitasnya jeles banget gak dicek dulu sebelum dikirim. kecewa dan gak akan beli lagi disini.,dapet error. nilai ppm kebaca dalam ribuan. kualitasnya jeles banget gak dicek dulu sebelum dikirim. kecewa gak akan beli lagi disini.
Mother and Baby,Minyak Telon My baby 150 150ml,Jakarta Barat,31478,4.9,34300,5679,1,PRODUK DIKIRIM TIDAK LENGKAP !!!,Negative,Anger,5,produk dikirim tidak lengkap !!!,produk dikirim tidak lengkap !!!
Kids and Baby Fashion,Celana Pendek Anak Laki Harian hawai 7-10 tahun Murah - RANDOM,Kota Bekasi,9250,4.7,9873,1345,4,"lumayan lah buat harian, kualitas sesuai harga..",Positive,Happy,7,"lumayan lah buat harian, kualitas sesuai harga..","lumayan buat harian, kualitas sesuai harga.."
Sport,5-60kg Adjustable Handgrip Hand Grip Alat Fitness Olahraga Otot Tangan,Jakarta Barat,16200,4.9,6323,768,5,"Dijamin Termurah, tapi BUKA MURAHAN. Kualitas bahan mantap ??. Berfungsi dengan baik.",Positive,Love,12,"dijamin termurah, tapi buka murahan. kualitas bahan mantap ??. berfungsi dengan baik.","dijamin termurah, tapi buka murahan. kualitas bahan mantap ??. berfungsi baik."
Animal Care,Makanan kucing merk bolt kemasan repack 1kg - Donat 800gr,Jakarta Timur,18450,4.8,18100,3809,1,"isinya cuma 800 gr, diskripsinya 1 kg.. udah terlanjur beli 10 bungkus.. tolong dong jangan suka nipu alus model gini.. kagak berkah tau!! parah nih sellernya, ngasih duit haram ke keluarganya..",Negative,Anger,31,"isinya cuma 800 gr, diskripsinya 1 kg.. udah terlanjur beli 10 bungkus.. tolong dong jangan suka nipu alus model gini.. kagak berkah tau!! parah nih sellernya, ngasih duit haram ke keluarganya..","isinya cuma 800 gr, diskripsinya 1 kg.. terlanjur beli 10 bungkus.. tolong dong jangan suka nipu alus model gini.. kagak berkah tau!! parah sellernya, ngasih duit haram keluarganya.."
Other Products,[PAKET HEMAT] Tag Gun - Alat Tembak Pasang Label + REFILL 5000 Pcs (W) - 35mm,Jakarta Barat,39000,4.8,1859,709,1,"Barang gampang rusak,jarumnya lepas terlempar",Negative,Fear,5,"barang gampang rusak,jarumnya lepas terlempar","barang gampang rusak,jarumnya lepas terlempar"
Toys and Hobbies,mainan push bubble fidget pop it fidget toy popit rainbow - Love,Kota Depok,13000,4.9,5845,1697,1,Barang yang sudah berlubang (model persegi) pun bisa2 nya di kirim ke buyer nya. untuk model bulat warnanya berantakan. jelek sekali,Negative,Sadness,21,barang yang sudah berlubang (model persegi) pun bisa2 nya di kirim ke buyer nya. untuk model bulat warnanya berantakan. jelek sekali,barang sudah berlubang (model persegi) pun bisa2 kirim buyer nya. model bulat warnanya berantakan. jelek sekali
Body Care,Lux Hand Sanitizer Jasmine 50ml,Kab. Tangerang,29100,4.9,143400,5572,5,"Produk sampai dengan cepaat dan amaan, thank youu ????",Positive,Love,9,"produk sampai dengan cepaat dan amaan, thank youu ????","produk sampai cepaat amaan, thank youu ????"
Food and Drink,Pisang Cavendish Finger 1 kg,Kota Tangerang Selatan,11000,5.0,3413,1021,5,buahnya bagus... kurirnya ok sellernya juga ok,Positive,Happy,7,buahnya bagus... kurirnya ok sellernya juga ok,buahnya bagus... kurirnya ok sellernya juga ok
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,"Udah punya 3 botol dan 1 refill, beli lagi biar dpt botol baru yg ada sticker dermatologically tested nya",Positive,Love,19,"udah punya 3 botol dan 1 refill, beli lagi biar dpt botol baru yg ada sticker dermatologically tested nya","punya 3 botol 1 refill, beli lagi biar dpt botol baru yg sticker dermatologically tested"
Food and Drink,Lumpia Basah Semarang *BESAR*,Jakarta Selatan,14000,4.9,47100,3109,5,"Enak lumpia basah nya dan admin baik minta daun bawang lebihan eh beneran di kasi banyak ?? Terimakasih, nanti mau beli lagi ??????????",Positive,Love,23,"enak lumpia basah nya dan admin baik minta daun bawang lebihan eh beneran di kasi banyak ?? terimakasih, nanti mau beli lagi ??????????","enak lumpia basah admin baik minta daun bawang lebihan eh beneran kasi banyak ?? terimakasih, nanti mau beli lagi ??????????"
Movies and Music,Busa Telur Peredam Suara Ruangan - Busa Peredam - Egg Foam 200x100x2cm,Kab. Tangerang,75000,4.9,1385,242,5,barang sdh tiba dengan selamat... Trimakasih ??,Positive,Happy,7,barang sdh tiba dengan selamat... trimakasih ??,barang sdh tiba selamat... trimakasih ??
Men's Fashion,910 Nineten Socks Black & Grey,Kota Tangerang,50000,4.9,7646,4194,4,Tingkatkan lagi kualitas barangnya...Masih banyak benang keluar namun cukup baik,Positive,Happy,10,tingkatkan lagi kualitas barangnya...masih banyak benang keluar namun cukup baik,tingkatkan lagi kualitas barangnya...masih banyak benang keluar namun cukup baik
Office & Stationery,Refill Isi Pulpen Frixion Pilot 0.7/0.5 atk - 0.5 HITAM,Jakarta Barat,11799,4.9,38000,2348,1,Beli bolpen dan refill... kok yg dikirim mainan anak. Bagaimana tanggung jawab toko nih!!!,Negative,Anger,14,beli bolpen dan refill... kok yg dikirim mainan anak. bagaimana tanggung jawab toko nih!!!,beli bolpen refill... kok yg dikirim mainan anak. bagaimana tanggung jawab toko nih!!!
Men's Fashion,Sabuk Haji Umroh Model Besi Ikat Pinggang Gesper Pangsi Silat Betawi - PUTIH XXL,Jakarta Selatan,20400,4.7,1950,528,1,"ga amanah toko nya,awal nya bilang ready ukuran nya,setelah transaksi bilang kosong stok nya,coba bilang dari awal kalo ukuran yg di ingikan kosong,pembeli bisa pindah ke penjual lain.pengiriman nya juga lelet",Negative,Sadness,31,"ga amanah toko nya,awal nya bilang ready ukuran nya,setelah transaksi bilang kosong stok nya,coba bilang dari awal kalo ukuran yg di ingikan kosong,pembeli bisa pindah ke penjual lain.pengiriman nya juga lelet","ga amanah toko nya,awal bilang ready ukuran nya,setelah transaksi bilang kosong stok nya,coba bilang awal kalo ukuran yg ingikan kosong,pembeli bisa pindah penjual lain.pengiriman juga lelet"
Kids and Baby Fashion,Topi bayi rajut newborn / Kupluk bayi rajut / Topi kupluk bayi pom pom - Hitam,Jakarta Barat,27500,4.9,1467,775,1,"Hati-hati kalo beli barang di toko ini, deskripsi penjual dan real barang datangnya harus jelas di lihat. Bacain aja tiap ada pembeli bintang 1 komentar di produknya, respon penjual gimana, chat penjual ga mencerminkan seseorang yang baik.",Negative,Fear,37,"hati-hati kalo beli barang di toko ini, deskripsi penjual dan real barang datangnya harus jelas di lihat. bacain aja tiap ada pembeli bintang 1 komentar di produknya, respon penjual gimana, chat penjual ga mencerminkan seseorang yang baik.","hati-hati kalo beli barang toko ini, deskripsi penjual real barang datangnya harus jelas lihat. bacain tiap pembeli bintang 1 komentar produknya, respon penjual gimana, chat penjual ga mencerminkan seseorang baik."
Electronics,Telephone rumah single line analog standar panasonic KX-TS505 SECOND - Merah,Jakarta Pusat,69000,4.9,862,344,1,"barang tdk bs di pake ,ring tune jg g bunyi.kecewa",Negative,Sadness,10,"barang tdk bs di pake ,ring tune jg g bunyi.kecewa","barang tdk bs pake ,ring tune jg g bunyi.kecewa"
Food and Drink,Roasted Bean Premium Arabica Washed Tuang Coffee 250gr - Biji Kopi,Jakarta Selatan,95000,4.9,3596,2130,1,ini mah ada robusta nya ga sesuai deskripsi dan ekspetasi payah,Negative,Anger,11,ini mah ada robusta nya ga sesuai deskripsi dan ekspetasi payah,mah robusta ga sesuai deskripsi ekspetasi payah
Health,Imboost Kids Syrup Daya Tahan Tubuh - 120ml,Jakarta Timur,65604,4.9,12300,4572,1,botol pecah pakingnya zonk bgt,Negative,Anger,5,botol pecah pakingnya zonk bgt,botol pecah pakingnya zonk bgt
Men's Fashion,Sabuk Haji Umroh Model Besi Ikat Pinggang Gesper Pangsi Silat Betawi - PUTIH XXL,Jakarta Selatan,20400,4.7,1950,528,1,"ga amanah toko nya,awal nya bilang ready ukuran nya,setelah transaksi bilang kosong stok nya,coba bilang dari awal kalo ukuran yg di ingikan kosong,pembeli bisa pindah ke penjual lain.pengiriman nya juga lelet",Negative,Sadness,31,"ga amanah toko nya,awal nya bilang ready ukuran nya,setelah transaksi bilang kosong stok nya,coba bilang dari awal kalo ukuran yg di ingikan kosong,pembeli bisa pindah ke penjual lain.pengiriman nya juga lelet","ga amanah toko nya,awal bilang ready ukuran nya,setelah transaksi bilang kosong stok nya,coba bilang awal kalo ukuran yg ingikan kosong,pembeli bisa pindah penjual lain.pengiriman juga lelet"
Household,Ultrasonic Aroma Diffuser Humidifier Colorful LED 300ml+remote,Jakarta Utara,99000,4.9,15529,4074,1,Barang cuma bs dipakai seminggu... uap nya gk muncul lagi...kecewa banget... jadi gk bs diapa2in. Buat yg lain jgn karna murah beli ya...barang cm tahan seminggu,Negative,Sadness,26,barang cuma bs dipakai seminggu... uap nya gk muncul lagi...kecewa banget... jadi gk bs diapa2in. buat yg lain jgn karna murah beli ya...barang cm tahan seminggu,barang cuma bs dipakai seminggu... uap gk muncul lagi...kecewa banget... gk bs diapa2in. buat yg lain jgn karna murah beli ya...barang cm tahan seminggu
Books,Buku TOEFL CLIFFS. Buku TOEFL CLIFF,Jakarta Barat,55000,4.8,1247,438,2,"Buku kondisinya kurang baik, ada sobeknya dan juga audio rusak mesti download sendiri.",Negative,Fear,13,"buku kondisinya kurang baik, ada sobeknya dan juga audio rusak mesti download sendiri.","buku kondisinya baik, sobeknya juga audio rusak mesti download sendiri."
Toys and Hobbies,Mainan Anak CROCODILE DENTIST GAME / MAINAN GIGI BUAYA - GIGIT BUAYA,Jakarta Barat,27000,4.7,11000,3636,1,"PRODUK CACAT KEPALANYA PENYOK, MINTA TUKAR GAK DIKASIH",Negative,Anger,8,"produk cacat kepalanya penyok, minta tukar gak dikasih","produk cacat kepalanya penyok, minta tukar gak dikasih"
Office & Stationery,Lakban Bening KSATRIA Tape 200 Yard,Jakarta Pusat,15988,5.0,14500,991,5,"Fast response, diproses & dikirim langsung, dikemas dengan baik (rapi & sangat aman), pengiriman sangat cepat, harga ekonomis (murah), pesanan lengkap sesuai, kualitas produk sangat baik (lentur & melekat kuat), Trusted Seller, produk & penjual sangat direkomendasikan, Terima Kasih.",Positive,Love,39,"fast response, diproses & dikirim langsung, dikemas dengan baik (rapi & sangat aman), pengiriman sangat cepat, harga ekonomis (murah), pesanan lengkap sesuai, kualitas produk sangat baik (lentur & melekat kuat), trusted seller, produk & penjual sangat direkomendasikan, terima kasih.","fast response, diproses & dikirim langsung, dikemas baik (rapi & sangat aman), pengiriman sangat cepat, harga ekonomis (murah), pesanan lengkap sesuai, kualitas produk sangat baik (lentur & melekat kuat), trusted seller, produk & penjual sangat direkomendasikan, terima kasih."
Health,Masker Karet Medis 3ply All Black Onemed Box Isi 25,Jakarta Pusat,14000,4.9,7597,2099,2,kualitas barang mengecewakan. tidak menampakkan nama besar ONEMED.,Negative,Sadness,8,kualitas barang mengecewakan. tidak menampakkan nama besar onemed.,kualitas barang mengecewakan. tidak menampakkan nama besar onemed.
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Jakarta Selatan,308000,4.9,3168,813,5,"Selamat Siang Bos, pesanan sudah saya terima. Belum di Pasang / di Coba. Packing sangat RAPI dan aman. Product MANTAP. Pokoknya TOP MARKOTOP. PELAYANAN sangat OKE. TOKO sangat RECOMENDED sekali. Makasih banyak atas semuanya. Salam Sukses, Sehat dan Sejahtera Selalu. Aamiin",Positive,Love,41,"selamat siang bos, pesanan sudah saya terima. belum di pasang / di coba. packing sangat rapi dan aman. product mantap. pokoknya top markotop. pelayanan sangat oke. toko sangat recomended sekali. makasih banyak atas semuanya. salam sukses, sehat dan sejahtera selalu. aamiin","selamat siang bos, pesanan sudah saya terima. belum pasang / coba. packing sangat rapi aman. product mantap. pokoknya top markotop. pelayanan sangat oke. toko sangat recomended sekali. makasih banyak atas semuanya. salam sukses, sehat sejahtera selalu. aamiin"
Electronics,BASEUS TRUE WIRELESS BLUETOOTH EARPHONE MINI EARBUDS TWS WM01 - Ungu,Jakarta Utara,569000,4.9,28507,16953,2,"Penggunaan di HP Samsung: Kualitas suara baik. Kualitas mic standar menuju buruk (suara harus keras baru bisa terdengar oleh lawan bicara). Pengguanan di MacBook: Ketika terhubung kualitas suara baik, namun selalu terputus (tidak stabil koneksinya), sehingga tidak bisa digunakan. Buat temen-temen yang perlu connect ke laptop gitu mending cari TWS lain deh. Soalnya koneksinya ke laptop enggak stabil. Sekian.",Negative,Fear,59,"penggunaan di hp samsung: kualitas suara baik. kualitas mic standar menuju buruk (suara harus keras baru bisa terdengar oleh lawan bicara). pengguanan di macbook: ketika terhubung kualitas suara baik, namun selalu terputus (tidak stabil koneksinya), sehingga tidak bisa digunakan. buat temen-temen yang perlu connect ke laptop gitu mending cari tws lain deh. soalnya koneksinya ke laptop enggak stabil. sekian.","penggunaan hp samsung: kualitas suara baik. kualitas mic standar menuju buruk (suara harus keras baru bisa terdengar lawan bicara). pengguanan macbook: ketika terhubung kualitas suara baik, namun selalu terputus (tidak stabil koneksinya), sehingga tidak bisa digunakan. buat temen-temen perlu connect laptop gitu mending cari tws lain deh. soalnya koneksinya laptop enggak stabil. sekian."
Muslim Fashion,Konektor Masker Hijab Mutiara 6mm - Putih,Jakarta Timur,7000,4.9,6870,1111,4,Alhamdulillah bagus,Positive,Happy,2,alhamdulillah bagus,alhamdulillah bagus
Property,Panen telur - Oxihom Baskom Saringan Tirisan K1903 - Cokelat,Kota Depok,12900,5.0,532,253,5,bagus..... berfungsi dengan bagus..... mantap.,Positive,Happy,5,bagus..... berfungsi dengan bagus..... mantap.,bagus..... berfungsi bagus..... mantap.
Books,Dale Carnegie - How To Win Friends and Influence People-Simon & Schust,Kab. Bogor,54450,4.9,232,111,3,"Kualitas kurang bagus, kertasnya tipis, bukan buku original",Negative,Fear,8,"kualitas kurang bagus, kertasnya tipis, bukan buku original","kualitas bagus, kertasnya tipis, bukan buku original"
Party Supplies and Craft,lilin angka gold / Lilin Ultah emas / Lilin Angka ulang tahun gold - tiga,Jakarta Utara,5000,4.9,30400,2224,5,"SANGAT REKOMENDED , PACKING BUBBLE WARP BANYAK MESKIPUN ORDER SEHARGA CEBANN , NICEEE",Positive,Love,13,"sangat rekomended , packing bubble warp banyak meskipun order seharga cebann , niceee","sangat rekomended , packing bubble warp banyak meskipun order seharga cebann , niceee"
Office & Stationery,Deli mini cutter portabel durable cute size E2050 - Biru,Kab. Tangerang,4500,4.9,9838,3015,1,Pesan barang tapi pas promo 11.11 tapi tidak dikirim malah disuruh refund duit yg dikirim cuma barang hak sale! GAJELAS SALE NYA! Nipu bgt itu sale padahal official store,Negative,Anger,29,pesan barang tapi pas promo 11.11 tapi tidak dikirim malah disuruh refund duit yg dikirim cuma barang hak sale! gajelas sale nya! nipu bgt itu sale padahal official store,pesan barang tapi pas promo 11.11 tapi tidak dikirim malah disuruh refund duit yg dikirim cuma barang hak sale! gajelas sale nya! nipu bgt sale padahal official store
Kids and Baby Fashion,Kids Watch Z6 imoo Z6 Jam Tangan Pintar Anak - Merah,Kota Tangerang,150000,4.6,939,456,1,jamnya susah sinyal mau pake kartu apapun tetap lemah sinyal.. jelek bgttt udh d komplain gada penyelesaian yg memuaskan,Negative,Anger,19,jamnya susah sinyal mau pake kartu apapun tetap lemah sinyal.. jelek bgttt udh d komplain gada penyelesaian yg memuaskan,jamnya susah sinyal mau pake kartu apapun tetap lemah sinyal.. jelek bgttt udh d komplain gada penyelesaian yg memuaskan
Women's Fashion,Masker strap / Tali Masker / Aksesoris masker Korea - type Banding - 3.Red,Kota Bekasi,15000,4.9,18000,2924,5,bagus strap nya...seller jg krmnya cepat,Positive,Happy,6,bagus strap nya...seller jg krmnya cepat,bagus strap nya...seller jg krmnya cepat
Food and Drink,bakso aci/boci/boci sakura/boci dower,Kota Bandung,5400,4.7,56300,4072,1,"Jeruknya udh busuk dikirim Yg gk busuk, gk ada lagi airnya Pilus keras",Negative,Anger,13,"jeruknya udh busuk dikirim yg gk busuk, gk ada lagi airnya pilus keras","jeruknya udh busuk dikirim yg gk busuk, gk lagi airnya pilus keras"
Women's Fashion,Masker strap / Tali Masker / Aksesoris masker Korea - type Banding - 3.Red,Kota Bekasi,15000,4.9,18000,2924,4,puas banget ????????????????,Positive,Love,3,puas banget ????????????????,puas banget ????????????????
Toys and Hobbies,karet ketapel 6mm 3060 slingshot,Kab. Tegal,6000,4.9,2370,402,5,barang sudah sampai. barang bagus... Sesuai dengan deskripsi produk.,Positive,Happy,9,barang sudah sampai. barang bagus... sesuai dengan deskripsi produk.,barang sudah sampai. barang bagus... sesuai deskripsi produk.
Automotive,3M Smart Sponge (Spon Cuci Mobil 3M) size: 10 cm X 15 cm,Kab.�Bekasi,13900,4.9,15200,4353,1,pesan 3 dateng 1,Negative,Fear,4,pesan 3 dateng 1,pesan 3 dateng 1
Sport,BASIC HEADBAND BLACK / BANDO HITAM PRIA WANITA / AKSESORIS OLAHRAGA,Jakarta Pusat,4900,4.9,2806,491,5,"terima kasih, barangnya sudah sampai dgn selamat, produknya oke banget! packagingnya juga aman, recommended banget",Positive,Love,15,"terima kasih, barangnya sudah sampai dgn selamat, produknya oke banget! packagingnya juga aman, recommended banget","terima kasih, barangnya sudah sampai dgn selamat, produknya oke banget! packagingnya juga aman, recommended banget"
Carpentry,YJ-01 Nano Spray Gun Disinfectant Wireless 800 ml,Jakarta Utara,115000,4.7,3483,1486,1,Kecewa sekal,Negative,Sadness,2,kecewa sekal,kecewa sekal
Property,cover body mobil Ertiga xenia avanza,Kab. Tulungagung,299900,4.4,326,213,5,makasihhhhhhhhhhhhhhhhhhhhhhhhhh,Positive,Love,1,makasihhhhhhhhhhhhhhhhhhhhhhhhhh,makasihhhhhhhhhhhhhhhhhhhhhhhhhh
Health,Imboost Kids Syrup Daya Tahan Tubuh - 120ml,Jakarta Timur,65604,4.9,12300,4572,1,"sudah jelas di foto 1 botol pecah,,, masa barang pecah harus tetap di kirim ke toko nya,,, kalau tidak di kirim tidak akan di ganti barang atau kembali kan uang,,,",Negative,Anger,30,"sudah jelas di foto 1 botol pecah,,, masa barang pecah harus tetap di kirim ke toko nya,,, kalau tidak di kirim tidak akan di ganti barang atau kembali kan uang,,,","sudah jelas foto 1 botol pecah,,, masa barang pecah harus tetap kirim toko nya,,, kalau tidak kirim tidak akan ganti barang kembali uang,,,"
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,Kota Tangerang Selatan,255000,5.0,322,82,5,"puas banget, admin ngejelasin detail bgt. trus pas dipake gak ada kendala sama sekali, pokonya top banget deh",Positive,Happy,18,"puas banget, admin ngejelasin detail bgt. trus pas dipake gak ada kendala sama sekali, pokonya top banget deh","puas banget, admin ngejelasin detail bgt. trus pas dipake gak kendala sama sekali, pokonya top banget deh"
Health,Imboost Kids Syrup Daya Tahan Tubuh - 120ml,Jakarta Timur,65604,4.9,12300,4572,4,alhamdulillah barang dtg dlam keadaan aman tidak pecah,Positive,Happy,8,alhamdulillah barang dtg dlam keadaan aman tidak pecah,alhamdulillah barang dtg dlam keadaan aman tidak pecah
Office & Stationery,"Stempel Warna Flash I Otomatis Design Custom - kecil, 1 warna",Jakarta Timur,25000,5.0,6409,2333,5,"Pelayanan ramah, design maksimal, hasil sesuai harapan. recommended..",Positive,Love,8,"pelayanan ramah, design maksimal, hasil sesuai harapan. recommended..","pelayanan ramah, design maksimal, hasil sesuai harapan. recommended.."
Beauty,L'Oreal Paris Revitalift Crystal Purifying Micellar Water Oil Free - 400 ml,Kota Tangerang Selatan,130000,4.9,4615,2253,3,"Ga tau dmn kendalanya, tp barangnya sampe ke rumah lama bgt. Molor 2hr dr estimasi sampai.",Negative,Anger,16,"ga tau dmn kendalanya, tp barangnya sampe ke rumah lama bgt. molor 2hr dr estimasi sampai.","ga tau dmn kendalanya, tp barangnya sampe rumah lama bgt. molor 2hr dr estimasi sampai."
Food and Drink,SAMBAL CUMI ASIN/PETAI/BAJAK EBI / TERI /ANEKA SAMBEL MR CRISPY - SAMBAL BAJAKEBI,Jakarta Barat,45000,4.8,9707,2662,1,Pelayanan ga bgt deh. Saya pakai ekspedisi gojek INSTAN dari jam 9 pagi ternyata baru di proses pihak toko jam 3 sore.,Negative,Anger,22,pelayanan ga bgt deh. saya pakai ekspedisi gojek instan dari jam 9 pagi ternyata baru di proses pihak toko jam 3 sore.,pelayanan ga bgt deh. saya pakai ekspedisi gojek instan jam 9 pagi ternyata baru proses pihak toko jam 3 sore.
Movies and Music,Stand Book Lubang2 Alat Musik Untuk Partitur Kecil MUSIC STAND Lx049-5 - Hitam,Jakarta Barat,125000,4.9,722,296,1,kalo udah bayar dicuekin sama penjualnya !! - chat 3 januari 2021 di respon. - order 3 januari 2021 jam 11 siang dengan kurir grab same-day - barang sampai 4 januari 2021 jam 3 sore. KALO UJUNG UJUNGNYA GAK SAMPAI TUJUAN DI HARI YG SAMA NGAPAIN BAYAR ONGKIR MAHAL PAKAI GRAB !!,Negative,Anger,52,kalo udah bayar dicuekin sama penjualnya !! - chat 3 januari 2021 di respon. - order 3 januari 2021 jam 11 siang dengan kurir grab same-day - barang sampai 4 januari 2021 jam 3 sore. kalo ujung ujungnya gak sampai tujuan di hari yg sama ngapain bayar ongkir mahal pakai grab !!,kalo bayar dicuekin sama penjualnya !! - chat 3 januari 2021 respon. - order 3 januari 2021 jam 11 siang kurir grab same-day - barang sampai 4 januari 2021 jam 3 sore. kalo ujung ujungnya gak sampai tujuan hari yg sama ngapain bayar ongkir mahal pakai grab !!
Health,Zambuk Obat Luar 8 gr,Jakarta Timur,16000,4.9,6678,2077,5,mkkasih admin daper harga murah paketan sama cdr n redoxon,Positive,Happy,10,mkkasih admin daper harga murah paketan sama cdr n redoxon,mkkasih admin daper harga murah paketan sama cdr n redoxon
Electronics,PINZY Portable Wireless Speaker T5 | Speaker Bluetooth mini,Jakarta Barat,90000,4.5,11529,3548,2,"Yang penting keluar suara deh. Soal kualitas suara maaf ya, mungkin mirip sama mainan anak-anak berbentuk Handphone.",Negative,Anger,17,"yang penting keluar suara deh. soal kualitas suara maaf ya, mungkin mirip sama mainan anak-anak berbentuk handphone.","penting keluar suara deh. soal kualitas suara maaf ya, mungkin mirip sama mainan anak-anak berbentuk handphone."
Camera,Kids camera Kamera Mini anak / camera anak / camera kids X2 - Merah Muda,Jakarta Utara,100000,4.8,1613,476,4,"Kameranya berfungsi, untuk kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. Sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa.",Positive,Happy,25,"kameranya berfungsi, untuk kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa.","kameranya berfungsi, kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa."
Muslim Fashion,Konektor Masker Hijab Kristal Premium Hijaberlin - Midnight,Kota Depok,21900,4.9,804,207,4,Tks barang sudah sampai,Positive,Happy,4,tks barang sudah sampai,tks barang sudah sampai
Kids and Baby Fashion,Tas Sekolah Anak SD Laki 3 in 1 Cowok - Fendi series - Hitam,Kab. Bandung,50000,4.8,2416,650,3,"Produk sgt biasa..jauh bgt bedanya sm foto dgn realnya..pknya resleting biasa, bahan kasar.",Negative,Fear,13,"produk sgt biasa..jauh bgt bedanya sm foto dgn realnya..pknya resleting biasa, bahan kasar.","produk sgt biasa..jauh bgt bedanya sm foto dgn realnya..pknya resleting biasa, bahan kasar."
Beauty,NEW ARRIVALS RAK KOSMETIK MULTIFUNGSI RAK KOSMETIK 3 LACI KOTAK MAKEUP - Putih,Jakarta Barat,180000,4.9,9685,4608,4,barangnya cukup bagus,Positive,Happy,3,barangnya cukup bagus,barangnya cukup bagus
Health,10ml Lemongrass Essential Oil | Minyak Sereh Dapur 100% Murni,Kota Bandung,28000,4.9,3059,1288,5,pengiriman cepat kualitas barang bagus wanginya juga oke,Positive,Happy,8,pengiriman cepat kualitas barang bagus wanginya juga oke,pengiriman cepat kualitas barang bagus wanginya juga oke
Body Care,Beli 2 Gratis 1 - Original Source Body Wash Mint Tea Tree,Kab. Tangerang,79900,5.0,1957,930,5,Beli di Official Store tgl 22 Feb 22 eh 23 Feb udh sampai di siang hari ???? Cepat banget ???? Thank you bangettttt cussons ???????? Dapet harga flass sale jd murah ??,Positive,Love,32,beli di official store tgl 22 feb 22 eh 23 feb udh sampai di siang hari ???? cepat banget ???? thank you bangettttt cussons ???????? dapet harga flass sale jd murah ??,beli official store tgl 22 feb 22 eh 23 feb udh sampai siang hari ???? cepat banget ???? thank you bangettttt cussons ???????? dapet harga flass sale jd murah ??
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Jakarta Selatan,85000,4.9,7834,4099,1,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,Negative,Anger,11,beli kemasan baru di kirim kemasan lama ! bintang 1 kon%tl,beli kemasan baru kirim kemasan lama ! bintang 1 kon%tl
Toys and Hobbies,SK-M6 Mainan Tenda Anak Terowongan 4 in 1 + Kolam + Ring Basket Mainan - TENDA 4IN1 MERA,Kab. Tangerang,141988,4.9,2443,1345,1,"Jualan kok ngotottt, nggak laku toko nya bang?",Negative,Anger,8,"jualan kok ngotottt, nggak laku toko nya bang?","jualan kok ngotottt, nggak laku toko bang?"
Books,"Al-Quran Tajwid Bukhara ukuran A6, Alquran Syaamil saku resleting",Jakarta Selatan,62000,4.9,3638,1353,1,Minta warna coklat dikirim hitam. Bilangnya ready,Negative,Sadness,7,minta warna coklat dikirim hitam. bilangnya ready,minta warna coklat dikirim hitam. bilangnya ready
