Category,Product Name,text_norm,Sentiment,Emotion,Customer Rating
Phones and Tablets,Obeng Pembuka Tool Set Repair Opening Tools iPhone 5 5S 6 6S Plus,obeng bintang nya kurang nyaman untuk dipegang. ujung obeng bintang mesti diratain dlu.. ada sisa potongan.,Negative,Fear,3
Household,Polo City Tas Koper Hardcase size 24 inch - 072 - Blue Navy,"harga terjangkau. rekomended. warna sesuai. pengiriman cepat cm 2hari sampe fast respon dr seller, kondisi barang utuh bagus warna nya cantikk banget kurirnya jg baik.. nelp smpe 4x mastiin alamatnya... tq seller fotonya gada.. adanya video. jdi aku ss dr video..",Positive,Love,5
Men's Fashion,Woodbags Sling Bag Mores - Hitam Kuning,"kualitasnya sangat jelek, sebanding dengan harganya... baru 2 minggu saya pakai sudah robek2 dengan sendirinya.",Negative,Anger,1
Automotive,Masker 3 ply Hitam Full Black Orlee Medis 3ply Earloop Kemenkes 50 - Hitam,"jelek banget, gak bisa di pakai ini mah maskernya berbulu, bisa dilihat foto tsb",Negative,Anger,1
Gaming,"Ps2 fat Hdd external murah Playstation Ps 2 fat Sony - Hardisk 20GB, TANPA MEMORY","saat di unboxing barang terlihat bagus tpi pas baru di cek dengan seksama sticknya hancur dan bautnya hilang padahal packingan menggunakan kayu dan tidak ada penyok + ps baru di coba banyak game yg tidak mau serta dalam waktu 5 mnt ps langsung mati sendiri saat saya coba cek masalahnya ternyata kipas ps tidak menyala, saat saya tanya ke penjual ternyata ps hanya di cek sekedarnya saja dan setelah saya komplain saya disuruh mengembalikan ksana untuk di cek dan ongkir pp saya tanggung sendiri, sangat miris saya sangat percaya dengan toko meskipun ada ulasan yg buruk tpi saya tetap percaya dan tenyata barang yg datang sangat tdk memuaskan",Negative,Fear,1
Kids and Baby Fashion,?YUKSHOPING? R115 Tas Anak TK Ransel kecil Karakter Backpack Motif - RILAKUMA,lucu tasnya murah sesuai harga sih kualitasnya.. pas juga dianak saya,Positive,Love,5
Beauty,Madame Gie Silhouette Eyeliner Small (48 Jam) - Lime Green,seller tidak bertanggung jawab. ????,Negative,Anger,1
Muslim Fashion,Jilbab Instan Pet Antem L / Hijab Kaos Bergo Anthem Size L,tidak menerawang. ukuran sesuai. bahannya adem. jahitan rapi. warnanya cantik ??. modelnya cantik ??.,Positive,Love,5
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling","barang dikirim salah, pesan webcam logitech di logitech official kok bs dikirimmya headphone jbl! dan penukaran barang butuh 4hari kerja! sungguh lama",Negative,Anger,1
Muslim Fashion,Hijab VOAL Segiempat Premium - Emikoawa Jilbab Kerudung Terbaru Korea - capucino,"yeay paketan sudah sampe lama, tapi baru sempet review, semoga dipakenya nyaman dan enak, karena belum sempet dibuka",Positive,Happy,4
Tour and Travel,9 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,"seller ramah n reapon cepat, packing rapi, thanks seller..",Positive,Happy,5
Kitchen,"Tatakan roda tabung gas elpiji, galon air,serbaguna troy MASPION","dipakai untuk mindahin tabung gas 12 kg sangat seret, susah maju karena rodanya tidak jalan, bobot tabung gas terlalu berat..not recommended utk tabung gas 12 kg..mungkin untuk yang lbh ringan bisa lancar rodanya berputar..",Negative,Fear,1
Kids and Baby Fashion,Jam Tangan Anak Imo Z6 Imoo Dua Kamera Smartwatch Anak Imo Imoo Kidz - Biru Muda,"kameranya jelek banget, di deskripsi katanya bisa walkie talkie ternyata ga bs, response penjual sangat lambat, ga dapet sim card malah di ganti kaos kaki",Negative,Anger,2
Muslim Fashion,Dua Jilbab Voal Umama Azara part 5,saya nggak terima paketnya sama sekali saya minta lacak malah no respon,Negative,Sadness,1
Movies and Music,Cajon / Kahon / Drumbox Mahogany dilapisi Kulit merk MAKOA,respon sangat lama sekali no recomended,Negative,Fear,2
Other Products,Tinta plastisol Brain Plus putih 1kg,"order teroooos,moga smua dimudahkn rzq ny...",Positive,Love,5
Gaming,Dobe Storage Case for Nintendo Switch Lite TNS 19091 / Pouch Lite,"produk diterma dengan baik, pengirimannya juga luar biasa cepat, dicoba juga pas banget untuk nintendonya.",Positive,Happy,5
Carpentry,Cat tembok Interior Nucolour 25 kg tidak ngapur,"cat nya mantap, pengirimannya cepet. ??????",Positive,Happy,5
Precious Metal,UBS Logam Mulia BT21 Tiger 0.25 Gr,"selucu itu, dapet free photocard juga dongggggggggggg ?????? happy ??",Positive,Love,5
Office & Stationery,Label Barcode MURAH 100 x 150 A6 kertas stiker thermal 500 pcs,bagus barangnya udah berkali kali beli di sini,Positive,Love,5
Carpentry,Wallpaper Dinding 3D Foam Batu Bata 70cm x 77cm - Putih 70 x 38cm,barang dah lama.. benyek benyek.. ada kerusakan ga diganti... pengemasan buruk... harap menjadi pelajaran...,Negative,Sadness,1
Electronics,Rechargeable Mini Wireless Keyboard For Android Tv Box mini i8,"maaf br review skr, barang sesuai & lsg dipakai gk ada masalah....seller nya cepet ngerespon nya, yg pasti remote nya keren & recomended banget..tks",Positive,Love,5
Toys and Hobbies,"MAINAN EDUKATIF ANAK MERONCE MANIK KELERENG MUTIARA, 750PCS PROMO! - CRYSTAL","brg sampai, packing oke, cocok bt kado, ada bonus dompet koin??",Positive,Happy,5
Body Care,Whisper Pembalut Wanita Regular Flow 40's,lama banget sampainya. ga terlalu rekomen untuk beli. seminggu lebih sampainya.,Negative,Fear,1
Office & Stationery,Tipex Correction Tape CF-235 Joyko,"beli banyak macam barang, tapi produk ini tidak dikirimkan",Negative,Fear,1
Precious Metal,Minigold Black Series Logam Mulia Koin Emas Mini 24 Karat 0.025 gram,brg sesuai pic.....kurir sll yg terbaik sudah langganan????,Positive,Love,5
Party Supplies and Craft,BALON FOIL ASTRONOT UFO GALAXY SERIES HAPPY BIRTHDAY PESTA MURAH - B0569 UFO,"packing tidak rapih.. balon foil kusut, tidak dilipat, hanya dikuntal-kuntal dimasukkan kedalam plastik.. kalau yg size kecil masih oke.. tp yg size besar jadi pada lecek dan kusut.. padahal dari awal chat saya udah bilang buat dijual lg... kalau sudah lecek begini gak mungkin saya kasih ke orang.",Negative,Anger,1
Food and Drink,Rendang Padang Level 3 - Daging Sapi (250gr),enaaaak.. bakal order lagi ??????,Positive,Love,5
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,"fast respond, sellernya ramah packing rapi pengiriman cepat... recommended",Positive,Love,5
Body Care,L'Oreal Paris Extraordinary Oil Gold,barang datang tidak lengkap. yidak akan pernah belanja lagi di toko remi loreal,Negative,Fear,1
Electronics,Ezviz C6N 2MP 1080p Smart Wifi Pan Tilt CCTV camera original garansi - C6N only,pasangnya gampang. bahannya kokoh . barangnya original ??. proses pesanan cepat. packaging aman ??. packaging rapi. respon penjualnya top. penjualnya ramah banget.,Positive,Happy,5
Phones and Tablets,Remax True wireless Stereo Earbuds TWS-21 - Putih,"pelayanan gercep dan mantep, cuman kualitas suara kurang, tapi buat harga 100rban mah mantep",Positive,Happy,4
Animal Care,Udang Hias Merah Aquascape Red Bee Caridina,"saya sengaja selesaikan pesanan ini agar bisa nulis ulasan sesuai pengalaman saya belanja dintoko ini. saya sempat tamyakan via chat tentang foto asli ikan dijawab ikannya sesuai gambar di etalase, saya tanya juga bukan burayak dijawab bukan. tapi faktanya.......... : non sense yg dikirim burayak",Negative,Anger,1
Toys and Hobbies,Mainan Robot Avenger 2 Thor + IronMan + Hulk + Captain America KECIL,kaki mainan robot hulk pecah/rusak. mohon dicek sblm kirim brh,Negative,Fear,1
Carpentry,Cat tembok Interior Nucolour 25 kg tidak ngapur,"tidak direkomendasikan buat tembok lama,tembok lembab, ganti warna beda dari warna asal, isi juga kurang dari label, dijamin tidak memuaskan! harga gak pernah nipu",Negative,Fear,1
Kids and Baby Fashion,V019 Tali Strap Kalung Rantai Masker Anak motif LUCU Unik - V019-Sun MIX,"minta pink dikasi ungu, tp ya udah lah bagus juga",Positive,Happy,4
Kids and Baby Fashion,"Masker ANAK ANAK 3 ply isi 50pcs kids 3-14thn face mask earloop - Putih Polos, Chasa Kid",harga murah kualitas baik,Positive,Happy,4
Food and Drink,Pie Susu Dhian Bali,"pie susunya jamuran, duh parah bgt sih jualan",Negative,Fear,1
Sport,Speeds Door Chinning Bar / Pull UP bar Speeds / Iron Gym 013-4,knop kanan gabisa diputar,Negative,Fear,1
Gaming,Nintendo Switch Overcooked Special Ed + Overcooked 2 (Eur / English),pengiriman cepat dan packing sangat rapi walau hanya beli 1 item saja. rekom bgt gaes,Positive,Love,5
Phones and Tablets,Kabel Data Iphone Original Ori Cable Data Ip 6 6plus 7 7plus 8 8plus,socket ujung kendor tidak ori,Negative,Fear,3
Camera,Kids camera Kamera Mini anak / camera anak / camera kids X2 - Merah Muda,"kameranya berfungsi, untuk kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa.",Positive,Happy,4
Animal Care,Makanan kucing - Bolt Repack 1kg - Bolt Ikan,"sudah dua kali belanja d tolong billy buat saya kecewa, pengirimannya lama sekali 2-3 hari. padahal hanya wilayah jakarta tidak sampai luar kota. minta tolong dong pilih kurir yang cepat,",Negative,Sadness,1
Kitchen,Dispenser Beras Tempat Wadah Penyimpanan Beras Rice Bucket E67/E79 - Biru-5kg,tadiinya mau pesen beda model tp g bisa kata selernya.. terpaksa pakai dah mau gmn lg,Negative,Sadness,1
Beauty,MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,"proses pesanan cepat. packaging aman ??. packaging rapi. hasilnya matte. aplikator mudah dipakai. thank you,beli lg ah warna lain??",Positive,Happy,5
Household,(Tabung B buka depan)Penutup mesin cuci-Cover mesin cuci bahan PEVA - Black Flower,lebih kecil.. ndak muat di mesin cuci elextrolux overal bhanya bagus anti air,Negative,Fear,3
Party Supplies and Craft,Stick Cup Standing Balon / Tatakan balon / Tiang Dekorasi / Gate balon,"not recomended seller ,gara2 ini toko .. surprise buat ultah moment yg penting hancur gitu aja, .. parahhhhh ..nyesel banget,banget belanja ditoko ini !!!!!!",Negative,Sadness,1
Men's Fashion,DOMPET KULIT PRIA WANITA PANJANG IMPORT BAELLERRY MODEL PANJANG SW002 - Hitam,trimakasih barang sudah sampai tapi sayang kulitnya ada yang cacat,Negative,Sadness,3
Muslim Fashion,Nabnib - STRIPY Ciput Rajut Premium - Taupe,bahan bagus,Positive,Happy,4
Automotive,Bubble Wrap Plastik Pembungkus Helm,jgn beli disini. seller nya slow response ketika ada masalah produk. saya beli helm ga dicek qc terlebih dahulu sblm dikirim. helm ada lecetnya. beli goggle osbe kacanya baret2 halus semua. masuk pusat resolusi juga ga kooperatif. selalu cek cctv yg ga jelas kapan ceknya dan apa yg dicek. barang akhirnya diretur. setelah sampai ga direspon2 lagi. jadi mending lebih baik batal dimana solusi awal saya adalah retur refund dan disini ga ada itikad baik seller. udah lapor cs pun cs terpaku sistem dan pas udah koar2 baru tuh cs hubungin seller. cs toped empatinya pun msh buruk. klo sekelas selebgram cepet ditanganin. giliran user biasa alasannya sistem. beberapa jam menuju transaksi mau batal baru dibatalin ini seller.,Negative,Fear,1
Kids and Baby Fashion,Jam Tangan Anak Pilot Perempuan Atau Laki Laki Anti Air - Putih,jamnya berfungsi normal. bahannya bagus. ukuran sesuai. nyaman dipakai lama.,Positive,Happy,4
Camera,"Helmet Front Mount Kit 3M For Xiaomi Yi,GoPro,Sjcam,B Pro","uda di noted tulung di cek baik baik. mungkin drivernya kali ya yg patahin. 1. j hook patah , 2. 3m rusak kyk keteken kucel mirip duit lama #pdhal pembelian pertama memuaskan knpa yg kedua begini #lain x tulung di cek lebih teliti lagi yah",Negative,Fear,3
Books,Komik Seri : One Piece ( Eiichiro Oda ),"komiknya ada yg udah kuning kertasnya, stok lama sepertinya",Negative,Fear,3
Body Care,Lux Hand Sanitizer Jasmine 50ml,pesen 10 dikirim 4,Negative,Fear,1
Office & Stationery,TEMPAT BROSUR / TENT HOLDER / TENT CARD AKRILIK DISPLAY 2 SISI A5,"sungguh menyedihkan. beli 7 pcs tapi barang pecah 3pcs ,sdh komplain garansi 2minggu nggak beres2",Negative,Sadness,1
Phones and Tablets,Createkat Katfit Watch Band SPO2 Tracker - Biru,barangnya gak berfungsi,Negative,Sadness,1
Gaming,The Sims 4 + ALL DLC - PC Game - DL(GoogleDrive),"flash disknya sudah sampai dengan selamat. packingnya aman bgt, rapi, dan game aman bisa dimainkan. kayaknya dapet bonus game jg di dalamnya. terima kasih kak! kelengkapan sesuai & gamenya seru!",Positive,Love,5
Mother and Baby,Paket 2 - Nutrilon Royal 3 Susu Pertumbuhan 1-3 Thn Vanila 800gr,"hadiah gak di kirim , toko offical tapi gak amanah , kapok dah",Negative,Fear,1
Household,MINISO Tempat/ Tong Sampah Plastik Meja Mini Trash Bin Garbage - Hijau,kondisi barang agak kotor & sulit dibersihkan,Negative,Fear,2
Animal Care,Glofish Tetra / Glow in The Dark / Ikan Hias Air Tawar Aquascape - Biru,"ngirim barang gak sesuai pesanan, ngeselinnn !!!!!!",Negative,Anger,5
Beauty,Jedai Jepit Rambut 5 Cm Ufa Thailand 2 warna 6 pcs - PAKET 18,"udah pembelian ke 2, awet dan tahan lama.. gak gampang rusak... paling beli lagi karena ilang ato dipinjem gak dibalikin",Positive,Love,5
Kids and Baby Fashion,Kaos Kaki Sekolah SD / Kaos Kaki Anak anak - Hitam Polos,"bahan tipis, seller ramah, ekspedisi cpt",Positive,Happy,4
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,"works fine. respon seller cepat, barang berfungsi dengan baik. recommended.",Positive,Happy,5
Camera,"2 in 1 Portable Mini Folding Tripod for DSLR,GoPro,Xiaomi Yi","plastiknya cukup tebal, desainnya keliatan cukup kokoh. langsung dipakai utk zoom. hape stabil. mudah2an awet.",Positive,Happy,5
Computers and Laptops,Rexus GX2 Gladius Pro Gaming Gamepad - Joystick / Stick - Hitam,l2 r2 trigger nya ampas macam ***,Negative,Anger,1
Phones and Tablets,Earphone I Earbuds I Headset Gaming with Mic JETEX HX8 - Garansi Resmi,dapat bekerja dengan baik dan nyaman di kuping. bassnya mantaap.,Positive,Love,4
Animal Care,Spray Obat Kulit Scabies Demodex Jamur Kutu Anjing Kucing Hewan 100ml - Spray 60ml,uda pembelian ke2 nihh,Positive,Love,5
Animal Care,Wood Pellet / Pelet Kayu / Alas Kandang 1 kg,"pelayanannya yang sangat mengecewakan , padahal gojek instant , tp besoknya baru dikirim , di chat balasnya lama bangett , no rekomen kl yg buru2",Negative,Sadness,1
Other Products,Busa Filter Ukuran MILD,bagus dan sesuai pesanan,Positive,Happy,5
Gaming,Microsoft Flight Simulator 2020 Premium Deluxe PC Original - DVD-DL120GB,"admin ditanya2 respon cpt dan ramah, barang cpt sampe,sampe dgn rapih.tata cara install lengkap dijelasin,sisanya dipandu.sangat sangat membantu dan baik adminnya,rekomended bgt. next pasti beli2 disini lg. puas bgt",Positive,Love,5
Beauty,Madame Gie Madame Perfect Brow - Pensil alis - Godly Grey,gampang dipakai. gampang dibawa-bawa. packaging aman ??.,Positive,Happy,5
Movies and Music,Phantom Power Microphone 1 Channel 48V Supply for Condenser Microphone - Tanpa Kabel,mengecewakan belanja disini. barang tidak sampai..ganti2kurir gak jelas.penjual gak koperatif..,Negative,Anger,1
Women's Fashion,"Nathalie Kaos Dalam Tanktop Wanita Camisol 1 PCS Color NTA 428 - Hitam, L",pengiriman lama sekali. respon penjual jg lambat,Negative,Sadness,2
Movies and Music,Cover keyboard yamaha black parasut anti debu/tutup keyboard - L,rapi dan pas banget,Positive,Happy,5
Beauty,NEW ARRIVALS RAK KOSMETIK MULTIFUNGSI RAK KOSMETIK 3 LACI KOTAK MAKEUP - Putih,barangnya cukup bagus,Positive,Happy,4
Electronics,Oraimo Bundle 3pcs Kabel Data Micro USB Fast Charging Cable OCD-M29N,"kesel ama durasi pengirimannya doang, overall barangnya bagus kok",Positive,Happy,3
Animal Care,DESINFEKTAN MedLab 5 Liter antiseptik,"pengiriman cepet banget, packing aman banget.. pokoknya mantab",Positive,Happy,5
Men's Fashion,Stayhoops - Tali Masker / Strap Masker / Kalung Masker - Cyanea Strap,produk anak bangsa yang super keren banget desainnya!! very nice and helpful seller! terima kasiiih we love it so muuuuch!,Positive,Love,5
Camera,Helmet Front Mounting buat nge vlog mounting helm Xiaomi yi atau Gopro - Tanpa Pivot,sedikit seret kalo dipadukan dengan produk original. pake sedikit kekuatan bisa masuk.. overall puas sekali dengan produk. bahan dan finishing bagus. haturnuhun,Positive,Happy,5
Women's Fashion,"PVN Kara Sepatu Sneakers Wanita Sport Shoes Candy Pink White Blue 372 - Candy, 42","gimana bisa miring begitu? plus udh di wanti2 alamat kirim kantor tutup jam 5 terus libur akhir tahun. udh ditanya udh konfirmasi katanya bisa sblm jam 5 sampe pake sameday. ini nyampe nya jam 8 malem, gw nungguin di warkop depan kantor yg udh gelap. tolonglah kalo udh di notice gitu pilih sameday grab/gojek jgn pake anteraja yg transit sana transit sini. kalo emg ga bisa ga usah diiyakan pas nanya jam 5 sampe apa enggak. kecewa",Negative,Fear,2
Party Supplies and Craft,Custom Kartu FLAZZ BCA 2 sisi Bisa Cetak Foto / Gambar Bebas,warna tidak sesuai dgn permintaan,Negative,Anger,1
Household,Plastik Buble Wrap - BUBBLEWRAP,barang sampai dengan selamat cuman packing aja yg kurang nambah buble tapi buble nya dikit banget sama aja kaya packing biasa,Negative,Fear,3
Electronics,Original RUIZU X50 8Gb BLUETOOTH Sport MP3 Player DAP TF FM Pedo V X02,"tidak bisa upload atau transfer file dari komputer ke mp3 player, padalhan sudah gonti usb cable data yg terbaik dan sudah update usb drive nya. ternyata harus beli external memory card, awalnya tertulis internal 4gb :(",Negative,Sadness,2
Kids and Baby Fashion,Jam Tangan Anak Imo Z6 Imoo Dua Kamera Smartwatch Anak Imo Imoo Kidz - Biru Muda,"kameranya jelek banget, di deskripsi katanya bisa walkie talkie ternyata ga bs, response penjual sangat lambat, ga dapet sim card malah di ganti kaos kaki",Negative,Anger,2
Movies and Music,Cajon / Kahon / Drumbox Mahogany dilapisi Kulit merk MAKOA,respon sangat lama sekali no recomended,Negative,Fear,2
Property,BELI 3 POHON BONUS 2 POHON platycerium ridleyi,keren. barang kirimannya seger2.,Positive,Love,5
Body Care,Lux Hand Sanitizer Jasmine 50ml,"barang sudah sampai, dipacking dengan aman dan dpt hrga promo lg, thanks seller",Positive,Happy,5
Kids and Baby Fashion,Jam Tangan Anak Imo Z6 Imoo Dua Kamera Smartwatch Anak Imo Imoo Kidz - Biru Muda,"jam tangan nya rusak, ga bisa dipakai sampai rumah. anak sy menangis dan kecewa",Negative,Sadness,1
Food and Drink,Marumiya Rice Topping Furikake Abon Tabur Jepang - GOMASHIO 45gr,"terbaik sihhh iniii.. pesanan ny superr cpt sampe nya.. d proses ny cpt bgtttt.. br psen hr itu, bsk ny ud sampe lagi ?? pengemasan amann bgt juga ya.. ???? thx seller & kurir ????",Positive,Love,5
Men's Fashion,"baju tidur pria pp piyama pajamas import dewasa - kotak 1, XXXL","mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya...",Positive,Happy,5
Animal Care,Cupang Hias Halfmoon Male / Betta Fish Halfmoon - Random,cupang tidak sesuai gambar,Negative,Sadness,1
Party Supplies and Craft,Balon LED RGB LENGKAP 2/BOBO LED/Balon Lampu Tumblr 3 MODE + Gagang,balon nya kecil bngt,Negative,Sadness,1
Women's Fashion,Daster Wanita Kekinian Adem - Warna Random,"paket cepat sampai, bagus, danrapih, trimakasih kakak.warnanya bagus ??. ukuran sesuai. jahitannya rapi.",Positive,Happy,4
Men's Fashion,jam tangan Biden fashion pria analog pita jala bisnis - Putih,"jamnya biasa aja, saya tidak tahu kenapa bisa harga awalnya sejutaan. mungkin teknik marketingnya seperti itu.",Negative,Anger,2
Beauty,"MS Glow - 1 Box Masker Kosme Mask Fitmask Nano Silver Masker Kesehatan - Hitam, Stopper","pembelian kedua, tapi kali ini kecewa banget. segelnya sudah terbuka, maskernya crumpled, dan karena beli yg hitam jadi ga keliatan apakah ini beneran masker baru atau bukan/sudah kotor :(",Negative,Sadness,3
Carpentry,Charger Aki Portable 12V/2A Mobil | Motor,solusi mogok dijalan. produknya recommended dan berkualitas!. senang banget ada home servicenya!. senang banget bisa di pasangin di bengkelnya.,Positive,Love,5
Kitchen,Dispenser Beras Tempat Wadah Penyimpanan Beras Rice Bucket E67/E79 - Biru-5kg,tadiinya mau pesen beda model tp g bisa kata selernya.. terpaksa pakai dah mau gmn lg,Negative,Sadness,1
Mother and Baby,MOOIMOM Breathable Hipseat Carrier Gendongan Bayi - Navy Blue,paraahh bgt box hipseat tdk sesuai dgn yg saya pesan. box rusak banget padahal kemasan luar rapih. itu berarti box sdh rusak sblm dikirim tapi maksa dikirim ke cust. bahan nya agak kasar ga lembut. saya khawatir ini gak ori. walopun lg promo tp tolong diberesin dong pengemasan nya. masa salah box gimana sih.,Negative,Fear,1
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,5
Body Care,Folti baffi cream wajah penumbuh jenggot jambang kumis pria sdh BPOM,"pengiriman cepet bgt, dapat bonus pouch, packing rapi dan sangat memuaskan, lanjutkan kak pelayanan baiknya kalo bisa tingkatkan. terima kasih.",Positive,Love,5
Automotive,"Rat Repellent Spray (Pengusir Tikus, Pembasmi tikus Ampuh) - 250ml",bohong. sama sekali tidak manjur.,Negative,Anger,1
Carpentry,PYLOX BASIC / CAT SEMPROT PYLOX BASIC / PILOX BASIC 300CC,"minta warna putih, yg dikirim bening. ngasal bae, mata lo sowek!",Negative,Anger,1
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,pihak ekspedisi antaraja payah lama sekali?,Negative,Anger,1
Mother and Baby,PAKET INTIME Baby Bath Tub / Bak Mandi Bayi + POMPA - Biru Muda,pelayanan tokonya sampah..,Negative,Anger,1
Food and Drink,Keripik tempe 200 gram,"keripik tempe hancur n agak bau tengik, ga kemakan",Negative,Anger,1
Women's Fashion,"PVN Kara Sepatu Sneakers Wanita Sport Shoes Candy Pink White Blue 372 - Candy, 37",sepatunya enteng. solnya empuk. nyaman dipakai. ukurannya sesuai. desainnya sporty ??. proses pesanan cepat. warnanya cantik. packaging aman ??.,Positive,Happy,5
Animal Care,Obat Kucing CAT and FIT X1 Ultimate Untuk Kutu Jamur Scabies Cacing,beli obat diikrim dus kosong maksdya apaan nh mau tipu konsumen apa masdya,Negative,Anger,1
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,5
Muslim Fashion,Hijab Wanita Plain Scarf Voal Diario x Nagita Slavina - Misty jade,"kecewa sih. padahal beli mau buat dikasih orang. tapi malah ga dapet boxnya. sebelumnya pernah beli diario x nagita slavina juga, tapi dapet box. kirain beli pas sale di tokopedia akan dapat boxnya juga. ternyata malah ga dapet.",Negative,Sadness,3
Computers and Laptops,Rexus Mouse Wireless Gaming Avenger 110 - Perak,ngaco banget pesen mouse tapi gak lengkap. gak ada penutup batre sama bluetoothnya,Negative,Anger,1
Party Supplies and Craft,BALON FOIL BANDO KARAKTER MIX BANDO ANAK MOTIF HEWAN HEADBAND ANIMAL 1 - S023,mantap sesuai deskripsi. terimakasih,Positive,Happy,5
Women's Fashion,Daster Polos Ruffle / Daster remple Rayon - Mint,ringan dipakai. ukuran sesuai. bahan menyerap. menerawang sih in mah . sesuai harga lah,Positive,Happy,4
Kitchen,SANEX KOMPOR PORTABLE / PAKET GAS PORTABLE HI-COOK 230 GRAM (1 TUNGKU) - Merah,"packing sangat kacau, hanya bubble wrap tipis sehingga koper rusak",Negative,Sadness,2
Automotive,"Parfum Mobil, Vania Coffee, Aroma Kopi, Parfum Gantung, bukan bali - black gold",pesanan tidak sesuai. mmg sperti ini atau adminnya saja yg krg jeli trhadap jenis parfum yg dipesan.,Negative,Fear,1
Sport,Speeds Door Chinning Bar / Pull UP bar Speeds / Iron Gym 013-4,"besi disalah satu sisi gak bisa diatur panjang pendeknya karena sudah dol jadi alat gak bisa digunakan, mengecewakan sekali",Negative,Fear,1
Household,MINISO Tempat/ Tong Sampah Plastik Meja Mini Trash Bin Garbage - Hijau,kondisi barang agak kotor & sulit dibersihkan,Negative,Fear,2
Gaming,Microsoft Flight Simulator 2020 Premium Deluxe PC Original - DVD-DL120GB,"admin ditanya2 respon cpt dan ramah, barang cpt sampe,sampe dgn rapih.tata cara install lengkap dijelasin,sisanya dipandu.sangat sangat membantu dan baik adminnya,rekomended bgt. next pasti beli2 disini lg. puas bgt",Positive,Love,5
Household,PCK-01 Penjepit Barang / Pickup Tool Ver.1 Alat Capit Pemungut Sampah,"harga bersaing, barang sesuai pesanan. saya nambah extra packing kardus dan bubble wrap supaya barang aman dan benar sampai dengan selamat alhamdulillaah.. saya sengaja beli dengan tujuan untuk mungut sampah puntung rokok dan saya tanyakan ke seller apakah bisa, kemudian seller menjawab bisa. setelah sampai saya tes dan berhasil bisa untuk mungut sampah puntung rokok. memakainya mudah, hanya saja lumayan juga ya ternyata beratnya kalo sudah lama megangnya pegel juga hehe.. anyways, terima kasih ya seller :)",Positive,Love,5
Household,Rak Sepatu Amazing Multifungsi Shoes Rack & Gantungan Hijab - HITAM - Putih,"raknya letoy bgt. kalo naro sepatu lebih dari 6 pasang takut roboh. kirain kuat, ternyata letoy bgt",Negative,Fear,2
Camera,Waterproof Case Tishu-Casing Hp Anti Air - Indoshare Hitam,"udah sering beli banyak bahkan. tapi untuk yg sekarang sangat kecewa sekali karena ada satu yg gagal,depan belakang sama.sayangnya ketika ditanya malah disuruh nunggu. tapi tidak ada jawaban sampai sekarang. tau gitu di komplain",Negative,Anger,1
Party Supplies and Craft,lilin angka gold / Lilin Ultah emas / Lilin Angka ulang tahun gold - tiga,pda pecah lilin y pekejing y ga aman,Negative,Fear,1
Health,Stella Parfum'ist Smart Matic Caffe Latte,"barang yg dikirim ga ada remote nya, ga lg belanja disini, toko kurang teliti�",Negative,Anger,1
Muslim Fashion,Bella Square Hijab Segiempat Part 6,"saya pesan warna mustard tapi tidak sesuai,",Negative,Fear,1
Men's Fashion,"Polos - Classic Pajamas / Set Piyama Lengan Panjang Pria Dewasa Katun - Oregano, XL muat +-90 kg",bahan nya panas dan kegedean banget gak sesuai dengan berat negativean yg d estimasikan,Negative,Sadness,2
Automotive,Glade Diamond Aqua Reg 80ml,sangat kecewa..barang rejectan di jual..pelayanan sangat buruk..kya ga butuh uang..respon buruk parah.kalo barang ga ada bisa konfirmasi dlu..gak asal kirim yg dibeli apa yg dikirim apa,Negative,Sadness,1
Kids and Baby Fashion,SK-C19 Ikat Rambut Karet Pita Anak 18 in 1 Jepit Rambut Anak Aksesoris - Pink Tua,jepitan nya bagus2 canti anakku suka,Positive,Love,4
Carpentry,Kepala Portable Gas Torch Flame Gun Las Blow Torch Pematik Gas.,"mantab. berfungsi dengan mantab, proses pengiriman cepat. top",Positive,Love,5
Movies and Music,Mic Karaoke Mikrofon Wireless Bluetooth WSTER WS 858 WS-858 Mic Smule - Hitam,"harga, kualitas, barang sesuai... terima kasih seller, sukses tokopedia...",Positive,Happy,5
Party Supplies and Craft,Gantungan kait lengket transparan mudah dipasang kamar mandi dapur,penjual gak jujur !! respon kebanyakan bot!,Negative,Anger,1
